Date Occurred,Victim Sex,Latitude,Longitude,Ethnicity
2017-08-08,M,33.7812,-118.2417,White
2014-12-12,M,34.0259,-118.2586,Hispanic
2017-01-01,F,34.0423,-118.2561,Hispanic
2012-05-19,F,34.2432,-118.5232,Other/Unknown
2019-11-17,M,34.2394,-118.5069,Hispanic
2018-04-21,F,34.069,-118.3273,Hispanic
2013-01-25,M,34.1505,-118.44,White
2016-04-19,M,34.0519,-118.2531,Hispanic
2012-07-06,M,33.7451,-118.2835,Hispanic
2013-05-02,M,34.0617,-118.4216,Asian
2019-05-31,F,34.0723,-118.2831,Asian
2012-08-25,F,33.9824,-118.3003,Hispanic
2019-05-05,M,34.2287,-118.5273,Other/Unknown
2015-08-11,M,33.7388,-118.2879,Hispanic
2017-06-12,M,34.0591,-118.4426,White
2014-10-03,M,34.2072,-118.4312,Other/Unknown
2017-05-07,M,34.0981,-118.3616,Other/Unknown
2011-05-22,M,34.0146,-118.3351,Black
2019-01-30,M,34.0023,-118.4697,White
2017-01-06,F,34.0798,-118.217,Other/Unknown
2018-05-20,M,33.9612,-118.4498,White
2010-03-24,M,34.1436,-118.3953,White
2019-12-17,M,34.1903,-118.4225,Hispanic
2013-05-18,M,34.2357,-118.5231,Other/Unknown
2013-08-16,F,34.0384,-118.3777,White
2012-07-28,M,34.0907,-118.3416,Hispanic
2018-09-07,F,34.0981,-118.3158,Asian
2017-12-01,F,34.272,-118.4923,Hispanic
2010-11-09,F,34.1794,-118.4377,Hispanic
2011-04-01,F,34.0543,-118.4376,White
2015-04-25,F,34.2094,-118.452,Hispanic
2015-02-09,M,34.0618,-118.2891,Other/Unknown
2010-09-16,M,34.1867,-118.3965,Black
2016-03-27,M,33.9807,-118.2827,Hispanic
2013-08-12,M,34.2011,-118.5397,Hispanic
2014-03-14,M,34.0506,-118.2006,White
2018-08-05,M,34.0725,-118.2748,Other/Unknown
2017-03-27,M,33.979,-118.3112,Black
2017-05-17,F,33.9762,-118.2652,Hispanic
2011-02-21,M,33.9905,-118.2871,Black
2016-07-29,M,33.7433,-118.2923,White
2018-08-29,M,33.7455,-118.2923,Hispanic
2010-08-14,M,34.0386,-118.378,Black
2014-06-11,F,34.0343,-118.4478,White
2013-08-31,M,34.2012,-118.5197,Hispanic
2012-09-17,M,34.0485,-118.5387,White
2019-08-06,F,34.1576,-118.4923,Hispanic
2019-06-16,M,34.1468,-118.3877,White
2010-11-16,M,34.1722,-118.373,White
2019-07-26,M,34.0399,-118.3363,Black
2015-10-11,F,34.0958,-118.2862,White
2018-08-08,M,34.2399,-118.4435,Hispanic
2019-10-19,F,34.0178,-118.3675,Black
2013-01-24,F,34.25,-118.5886,White
2012-01-22,F,34.0982,-118.2918,Black
2014-03-09,M,34.002,-118.274,Hispanic
2014-01-07,M,34.0526,-118.2916,Hispanic
2017-05-01,F,34.0368,-118.2232,White
2018-05-24,M,33.9746,-118.3217,Hispanic
2018-12-06,M,34.2427,-118.5886,Hispanic
2012-08-14,M,34.0526,-118.3721,White
2018-09-15,F,34.0037,-118.3214,White
2018-10-31,M,34.1649,-118.3757,Other/Unknown
2015-03-01,M,34.2321,-118.3964,Other/Unknown
2012-06-29,F,33.9599,-118.3825,Hispanic
2010-03-06,M,34.0565,-118.2411,White
2017-09-06,M,33.9806,-118.3309,Hispanic
2014-09-21,F,34.0648,-118.2715,Other/Unknown
2019-02-28,M,34.2468,-118.4502,Hispanic
2012-02-24,M,33.7461,-118.2923,Black
2011-01-22,M,34.1985,-118.4455,Hispanic
2012-12-16,F,33.9599,-118.3872,White
2012-03-15,F,34.0672,-118.3091,Other/Unknown
2018-01-26,F,34.0883,-118.2831,Other/Unknown
2017-02-22,F,34.0283,-118.3492,Black
2013-12-04,M,34.0517,-118.2798,Asian
2016-12-27,M,34.1993,-118.5273,White
2010-03-06,M,34.2216,-118.393,Hispanic
2018-06-03,F,34.201,-118.6147,White
2010-07-10,M,33.9953,-118.2915,Hispanic
2018-05-22,F,34.2207,-118.5361,Hispanic
2016-09-15,X,34.08,-118.2881,Other/Unknown
2014-08-01,M,34.0437,-118.2098,Hispanic
2018-10-02,F,34.1545,-118.47,White
2011-11-11,M,34.0853,-118.3441,White
2013-03-10,M,34.165,-118.5011,Other/Unknown
2016-03-31,M,34.083,-118.251,Hispanic
2011-07-22,F,34.1785,-118.3703,White
2019-06-17,M,34.0559,-118.3078,Hispanic
2017-11-03,X,34.0805,-118.2704,Other/Unknown
2010-02-03,F,34.123,-118.4793,White
2019-09-01,F,34.0155,-118.3089,Black
2010-03-05,M,34.2103,-118.3965,Other/Unknown
2015-03-04,M,34.0419,-118.2523,Hispanic
2019-10-08,F,34.1867,-118.4137,Black
2010-07-24,M,33.9772,-118.3866,White
2017-07-31,M,34.0184,-118.3029,Black
2018-02-17,F,34.2297,-118.4395,White
2010-11-28,F,33.9439,-118.3834,Black
2019-12-06,M,33.7849,-118.2604,Hispanic
2010-09-04,M,33.9373,-118.2608,Other/Unknown
2015-08-25,F,34.1684,-118.4052,Asian
2018-03-01,M,34.0191,-118.2977,Hispanic
2010-11-15,F,34.1111,-118.2505,Hispanic
2015-06-21,M,34.0308,-118.4163,Asian
2018-11-23,M,34.2012,-118.4662,Hispanic
2012-03-04,F,33.96,-118.3003,Other/Unknown
2011-12-29,M,34.0417,-118.5174,Other/Unknown
2018-10-10,M,34.1794,-118.4225,White
2011-12-04,M,34.0325,-118.3519,Black
2011-06-09,M,34.0256,-118.3156,Black
2019-01-25,M,34.0326,-118.3351,Hispanic
2015-04-28,M,34.1564,-118.4836,Other/Unknown
2017-10-20,F,34.0632,-118.4237,White
2012-05-20,M,34.1017,-118.3093,Other/Unknown
2012-10-16,F,34.1514,-118.6263,White
2015-04-12,M,34.0064,-118.3089,Black
2019-11-16,M,34.1867,-118.4575,White
2010-08-24,M,34.0328,-118.442,Other/Unknown
2015-10-09,M,34.0817,-118.3266,Hispanic
2016-09-20,F,34.0598,-118.2891,Asian
2015-10-04,X,34.0441,-118.5245,Other/Unknown
2014-08-10,M,34.2355,-118.4536,Hispanic
2018-07-25,M,34.0496,-118.2458,Hispanic
2016-04-01,M,34.0417,-118.2362,White
2010-11-27,F,34.068,-118.4254,Hispanic
2010-01-24,M,33.9629,-118.2695,Black
2013-05-18,F,34.162,-118.4166,White
2012-02-05,M,33.9601,-118.2803,Black
2015-10-01,M,33.9953,-118.2674,Hispanic
2015-03-29,F,34.1962,-118.4596,White
2018-01-29,F,34.2748,-118.4492,Hispanic
2015-08-11,M,34.0503,-118.247,Hispanic
