Date Occurred,Victim Sex,MO Codes,Latitude,Longitude,Ethnicity
2019-08-27,F,3101 3401 3701 3004 3026 3801,34.0776,-118.2594,Asian
2010-08-30,M,3101 3401 3701 3006 3030 3602 3801 1218,33.9892,-118.2827,Hispanic
2017-08-19,F,3101 3401 3701 3006 3030 3801,34.042,-118.2555,Hispanic
2017-11-18,F,3101 3401 3701 3006 3030 3801,34.0893,-118.1832,Hispanic
2018-04-16,F,3101 3401 3701 3006 3024 3801 3034,34.1008,-118.2347,Hispanic
2019-07-05,M,3101 3401 3701 3006 3025 3801,34.0039,-118.2499,Other/Unknown
2019-07-12,M,3101 3401 3701 3006 3801,34.0124,-118.2487,Asian
2019-07-19,M,3101 3401 3701 3004 3602 3801,34.0038,-118.2783,Black
2019-07-16,M,3101 3401 3701 3026 3801 3602,34.108,-118.1961,Hispanic
2019-08-31,M,3101 3401 3701 3006 3025 3801,34.0178,-118.2553,Hispanic
2019-07-18,F,3101 3701 3003 3801 3602 3025 3401,34.0518,-118.2637,White
2019-07-14,F,3101 3401 3701 3006 3025 3801,34.0336,-118.23,Asian
2019-07-13,M,3101 3401 3701 3006 3801,34.1084,-118.2787,White
2019-09-04,F,3101 3401 3701 3006 3602 3801,34.0802,-118.1665,Hispanic
2019-09-01,M,3101 3401 3701 3003 3024 3029 3801,34.0541,-118.2761,Hispanic
2019-07-14,M,3101 3401 3701 3004 3025 3801,34.0333,-118.2697,Hispanic
2019-07-19,M,3101 3401 3701 3004 3024 3801 3602 3036,34.0407,-118.2541,Hispanic
2019-07-21,M,3034 3101 3401 3701 3011 3801 3025,34.0464,-118.2447,Other/Unknown
2019-09-20,M,3101 3401 3701 3011 3602 3801,34.015,-118.2081,Hispanic
2019-07-13,M,3101 3401 3701 3004 3026 3029 3602 3801,34.0667,-118.2797,Hispanic
2019-07-20,F,3101 3401 3701 3004 3026 3036 3801,33.9858,-118.2739,Hispanic
2019-07-13,F,3101 3401 3701 3024 3034 3602 3801 3011,34.0712,-118.2707,Hispanic
2019-07-13,F,3101 3401 3701 3004 3030 3801 3602,34.0712,-118.2707,Hispanic
2019-07-19,F,3101 3401 3701 3004 3801,34.0586,-118.2691,Hispanic
2019-07-21,M,3101 3401 3701 3004 3024 3801 3036,34.0368,-118.2412,White
2019-09-21,M,3101 3401 3701 3004 3025 3801,33.9788,-118.2652,Hispanic
2019-09-16,M,3101 3401 3701 3004 3024 3801,33.9779,-118.2652,Hispanic
2019-09-05,M,3101 3401 3701 3006 3034 3801,34.053,-118.2444,White
2019-09-06,M,3101 3401 3701 3004 3034 3801 3002 3036,34.0399,-118.2677,White
2019-09-22,F,3101 3401 3701 3011 3602 3801,34.0942,-118.1612,Hispanic
2019-09-11,M,3801 3101 3401 3701 3004 3036,34.0524,-118.2267,Black
2019-09-09,M,3101 3401 3701 3004 3036 3801,34.0523,-118.2823,Asian
2019-09-08,M,3101 3401 3701 3011 3034 3801,34.1049,-118.2592,White
2019-09-09,F,3101 3401 3701 3004 3026 3036 3602 3801,34.126,-118.2638,Hispanic
2019-09-25,M,3101 3401 3701 3006 3602 3801 1218,34.0614,-118.1969,Hispanic
2019-09-27,M,0605 3101 3401 3701 3004 3026 3034 3801,34.0312,-118.2551,Other/Unknown
2019-11-25,M,3101 3401 3701 3011 3801 3034,34.0915,-118.2568,Other/Unknown
2019-08-20,M,3801 3101 3401 3701 3006 3025 3030,34.0323,-118.2169,Hispanic
2019-08-20,M,3801 3101 3401 3701 3006 3025 3030,34.0327,-118.2183,Hispanic
2019-09-12,M,3101 3401 3701 3004 3801 3036,34.0285,-118.24,Black
2019-08-02,M,3101 3401 3701 3004 3801 3602,34.0559,-118.2756,Asian
2019-08-09,F,3101 3401 3701 3004 3036 3801,34.1459,-118.1844,White
2019-09-22,M,3101 3401 3701 3006 3030 3032 3602 3801,34.093,-118.1636,Hispanic
2019-09-22,F,3101 3401 3006 3030 3032 3602 3801 3701,34.093,-118.1636,Black
2019-08-11,M,3101 3401 3701 3006 3801,34.0865,-118.1647,White
2019-08-10,M,3101 3401 3701 3006 3026 3029 3602 3801,34.0542,-118.2611,Hispanic
2019-08-10,M,3101 3401 3701 3004 3801,34.0529,-118.2733,Hispanic
2019-08-14,F,3101 3401 3701 3801 3602,34.066,-118.2155,Hispanic
2019-08-10,M,3101 3401 3701 3006 3801,34.0605,-118.2694,Hispanic
2019-09-18,M,1401 3101 3401 3701 3004 3025 3602 3801,33.9893,-118.2564,Hispanic
2019-09-15,M,3101 3401 3701 3006 3602 3801,34.0173,-118.275,Black
2019-09-15,M,3101 3401 3701 3004 3801,34.0606,-118.2439,Asian
2019-09-14,M,3101 3401 3701 3004 3026 3602 3801 3036,33.9893,-118.2652,Hispanic
2019-09-18,M,3101 3401 3701 3006 3801,34.0092,-118.2589,Hispanic
2019-09-18,F,3101 3401 3701 3004 3602 3801,34.0508,-118.2722,Hispanic
2019-11-16,M,0605 3101 3401 3701 3006 3801,34.049,-118.2133,Hispanic
2019-09-14,M,3101 3401 3701 3003 3026 3602 3801 3034,34.0038,-118.2805,Hispanic
2019-11-28,M,0605 3101 3401 3701 3006 3801,34.0952,-118.1603,Hispanic
2017-07-31,M,3101 3401 3701 3004 3801,34.0496,-118.265,White
2019-08-14,M,0605 3101 3401 3701 3004 3801,34.0726,-118.2578,Hispanic
2019-08-20,M,3101 3401 3701 3006 3034 3801,34.0579,-118.1968,White
2019-08-17,F,3101 3401 3701 3004 3801,34.0231,-118.248,Hispanic
2019-08-17,M,3101 3401 3701 3006 3801,34.0932,-118.2115,White
2019-08-19,M,3101 3401 3701 3004 3801 3032,34.11,-118.195,Black
2019-08-23,M,3004 1402 0907 2002 3101 3401 3701 3030 3602 3801,34.064,-118.2505,Hispanic
2019-10-21,M,0605 3101 3401 3701 3004 3801,33.9792,-118.2893,Hispanic
2019-10-03,F,0605 3101 3401 3701 3012 3801 3032,34.0353,-118.2698,Asian
2019-09-30,M,3101 3401 3701 3004 3030 3801 0605,34.0104,-118.2535,Black
2019-12-01,F,0605 1402 3401 3101 3701 3006 3801,34.0597,-118.2795,Other/Unknown
2019-11-29,M,3101 3401 3701 3004 3801 3036,34.0578,-118.2842,Hispanic
2019-11-24,M,0605 3101 3401 3701 3004 3026 3801 3036,34.0953,-118.2994,Black
2019-10-08,M,0605 3101 3401 3701 3008 3026 3036 3801,34.0699,-118.2777,Asian
2019-11-27,M,1402 0907 1300 3101 3401 3701 3006 3801,33.9765,-118.2739,Black
2019-10-05,M,3036 3101 3401 3701 3004 3801,34.0565,-118.2768,Hispanic
2019-10-04,M,1402 2002 3101 3401 3701 3801 3006 3036,34.0559,-118.28,Hispanic
2019-12-02,M,3101 3401 3701 3004 3036 3801,34.0534,-118.2409,Hispanic
2019-11-22,M,3101 3401 3701 3004 3801,34.1037,-118.2733,White
2019-10-13,M,0605 3101 3401 3701 3006 3026 3801,34.0576,-118.2598,Hispanic
2019-10-18,F,0605 3101 3401 3701 3004 3801,34.0267,-118.1985,Hispanic
2019-10-20,M,0605 3101 3401 3701 3004 3036 3801,34.0364,-118.2023,Hispanic
2019-10-19,M,0605 3101 3401 3701 3004 3036 3801,34.0633,-118.2738,Hispanic
2019-10-25,M,0605 3101 3401 3701 3003 3801 3027,34.0752,-118.2649,Hispanic
2019-12-12,M,3101 3401 3701 3006 3801 3602,34.0491,-118.2558,Black
2019-12-15,M,3101 3401 3701 3026 3801 4025,34.1043,-118.1977,Other/Unknown
2019-12-16,M,3101 3401 3701 3004 3002 3034 3602 3801,34.0774,-118.265,Hispanic
2019-12-21,M,3101 3401 3701 3004 3801 3032 0605,34.0721,-118.2213,Black
